cell,microcell,location_x,location_y,household_number,Susceptible
137872450627,137872490445,0.0,0,5,23
137872450627,137872490448,0.0,0,5,34
137872450639,137872490460,0.005025125628140704,0,5,28
137872450639,137872497833,0.005025125628140704,0,5,26
137872450687,137872497686,0.010050251256281407,0,4,20
137872450687,137872498013,0.010050251256281407,0,5,20
137872450717,137872497839,0.01507537688442211,0,4,17
137872450717,137872498151,0.01507537688442211,0,5,31
137872450747,137872498019,0.020100502512562814,0,5,26
137872450747,137872498313,0.020100502512562814,0,5,28
137872450777,137872498157,0.02512562814070352,0,5,15
137872450777,137872498493,0.02512562814070352,0,5,35
137872450807,137872498319,0.03015075376884422,0,5,30
137872450807,137872498661,0.03015075376884422,0,5,21
137872450837,137872498499,0.035175879396984924,0,5,20
137872450837,137872509076,0.035175879396984924,0,5,20
137872450867,137872508935,0.04020100502512563,0,5,22
137872450867,137872509214,0.04020100502512563,0,5,25
137872450897,137872509082,0.04522613065326633,0,5,24
137872450897,137872509373,0.04522613065326633,0,5,22
137872450927,137872509226,0.05025125628140704,0,5,26
137872450927,137872509529,0.05025125628140704,0,5,20
137872450957,137872509379,0.05527638190954774,0,5,22
137872450957,137872509685,0.05527638190954774,0,5,23
137872450987,137872509535,0.06030150753768844,0,5,24
137872450987,137872509838,0.06030150753768844,0,5,29
137872451017,137872509697,0.06532663316582915,0,5,21
137872451017,137872519235,0.06532663316582915,0,5,25
137872451047,137872519175,0.07035175879396985,0,5,26
137872451047,137872519391,0.07035175879396985,0,5,17
137872451077,137872519241,0.07537688442211056,0,5,26
137872451077,137872519538,0.07537688442211056,0,5,20
137872451107,137872519403,0.08040201005025126,0,5,18
137872451107,137872519694,0.08040201005025126,0,5,34
137872451137,137872519544,0.08542713567839195,0,5,35
137872451137,137872519868,0.08542713567839195,0,5,29
137872451167,137872519700,0.09045226130653267,0,5,22
137872451167,137872520078,0.09045226130653267,0,5,19
137872451197,137872519874,0.09547738693467336,0,5,27
137872451197,137872527391,0.09547738693467336,0,5,24
137872451227,137872527367,0.10050251256281408,0,5,19
137872451227,137872527562,0.10050251256281408,0,5,25
137872451257,137872527403,0.10552763819095477,0,4,16
137872451257,137872527712,0.10552763819095477,0,5,32
137872451287,137872527568,0.11055276381909548,0,5,22
137872451287,137872527877,0.11055276381909548,0,5,27
137872451317,137872527715,0.11557788944723618,0,5,23
137872451317,137872528042,0.11557788944723618,0,5,25
137872451347,137872527889,0.12060301507537688,0,5,26
137872451347,137872528204,0.12060301507537688,0,5,21
137872451377,137872528048,0.12562814070351758,0,5,35
137872451377,137872528363,0.12562814070351758,0,5,29
137872451407,137872528216,0.1306532663316583,0,5,33
137872451407,137872537793,0.1306532663316583,0,5,31
137872451437,137872537607,0.135678391959799,0,5,26
137872451437,137872538003,0.135678391959799,0,5,32
137872451467,137872537799,0.1407035175879397,0,4,18
137872451467,137872538195,0.1407035175879397,0,5,21
137872451497,137872538009,0.1457286432160804,0,5,17
137872451497,137872538330,0.1457286432160804,0,5,23
137872451527,137872538207,0.15075376884422112,0,5,24
137872451527,137872538468,0.15075376884422112,0,5,22
137872451557,137872538336,0.15577889447236182,0,5,30
137872451557,137872538348,0.15577889447236182,0,5,23
137872459783,137872538477,0.16080402010050251,0,5,22
137872459783,137872548021,0.16080402010050251,0,5,25
137872459813,137872547856,0.1658291457286432,0,5,20
137872459813,137872548180,0.1658291457286432,0,5,29
137872459843,137872548033,0.1708542713567839,0,5,18
137872459843,137872548345,0.1708542713567839,0,5,37
137872459873,137872548192,0.17587939698492464,0,5,29
137872459873,137872548528,0.17587939698492464,0,5,21
137872459903,137872548357,0.18090452261306533,0,5,13
137872459903,137872548696,0.18090452261306533,0,5,30
137872459933,137872548534,0.18592964824120603,0,5,28
137872459933,137872548843,0.18592964824120603,0,5,28
137872459963,137872548708,0.19095477386934673,0,5,29
137872459963,137872557225,0.19095477386934673,0,5,18
137872459993,137872557063,0.19597989949748745,0,5,23
137872459993,137872557384,0.19597989949748745,0,5,19
137872460023,137872557237,0.20100502512562815,0,5,31
137872460023,137872557528,0.20100502512562815,0,5,27
137872460053,137872557390,0.20603015075376885,0,5,23
137872460053,137872557720,0.20603015075376885,0,5,18
137872460083,137872557534,0.21105527638190955,0,5,23
137872460083,137872557861,0.21105527638190955,0,5,23
137872460113,137872557732,0.21608040201005024,0,5,28
137872460113,137872558017,0.21608040201005024,0,5,27
137872460143,137872557867,0.22110552763819097,0,5,31
137872460143,137872566396,0.22110552763819097,0,5,25
137872460173,137872566282,0.22613065326633167,0,5,19
137872460173,137872566582,0.22613065326633167,0,5,28
137872460203,137872566402,0.23115577889447236,0,5,29
137872460203,137872566741,0.23115577889447236,0,5,26
137872460233,137872566594,0.23618090452261306,0,5,29
137872460233,137872566924,0.23618090452261306,0,5,25
137872460263,137872566753,0.24120603015075376,0,5,25
137872460263,137872567104,0.24120603015075376,0,5,24
137872460293,137872566930,0.24623115577889448,0,5,16
137872460293,137872567269,0.24623115577889448,0,5,19
137872460323,137872567116,0.25125628140703515,0,5,16
137872460323,137872575588,0.25125628140703515,0,5,27
137872460353,137872575498,0.2562814070351759,0,5,23
137872460353,137872575735,0.2562814070351759,0,5,25
137872460383,137872575600,0.2613065326633166,0,5,32
137872460383,137872575897,0.2613065326633166,0,5,22
137872460413,137872575741,0.2663316582914573,0,5,24
137872460413,137872576077,0.2663316582914573,0,5,29
137872460443,137872575903,0.271356783919598,0,5,21
137872460443,137872576254,0.271356783919598,0,5,18
137872460473,137872576089,0.2763819095477387,0,5,22
137872460473,137872576389,0.2763819095477387,0,5,20
137872460503,137872576266,0.2814070351758794,0,5,33
137872460503,137872583684,0.2814070351758794,0,5,30
137872460533,137872583693,0.2864321608040201,0,5,27
137872460533,137872583912,0.2864321608040201,0,5,31
137872460563,137872583717,0.2914572864321608,0,5,29
137872460563,137872584104,0.2914572864321608,0,5,21
137872460593,137872583918,0.2964824120603015,0,5,31
137872460593,137872584272,0.2964824120603015,0,5,25
137872460623,137872584110,0.30150753768844224,0,5,29
137872460623,137872584458,0.30150753768844224,0,5,31
137872460653,137872584278,0.3065326633165829,0,5,23
137872460653,137872584656,0.3065326633165829,0,5,19
137872460683,137872584464,0.31155778894472363,0,5,21
137872460683,137872595044,0.31155778894472363,0,5,24
137872460713,137872594954,0.3165829145728643,0,5,30
137872460713,137872595197,0.3165829145728643,0,5,31
137872460743,137872595056,0.32160804020100503,0,5,14
137872460743,137872595398,0.32160804020100503,0,5,25
137872460773,137872595209,0.32663316582914576,0,5,24
137872460773,137872595533,0.32663316582914576,0,5,21
137872466951,137872595410,0.3316582914572864,0,5,19
137872466951,137872595686,0.3316582914572864,0,4,23
137872466981,137872595545,0.33668341708542715,0,5,33
137872466981,137872595830,0.33668341708542715,0,5,23
137872467011,137872595692,0.3417085427135678,0,5,25
137872467011,137872608308,0.3417085427135678,0,5,28
137872467041,137872608275,0.34673366834170855,0,5,23
137872467041,137872608485,0.34673366834170855,0,5,35
137872467071,137872608320,0.35175879396984927,0,5,34
137872467071,137872608677,0.35175879396984927,0,5,22
137872467101,137872608491,0.35678391959798994,0,5,25
137872467101,137872608863,0.35678391959798994,0,5,22
137872467131,137872608683,0.36180904522613067,0,5,22
137872467131,137872609022,0.36180904522613067,0,5,17
137872467161,137872608875,0.36683417085427134,0,5,26
137872467161,137872609157,0.36683417085427134,0,5,25
137872467191,137872609034,0.37185929648241206,0,5,17
137872467191,137872617524,0.37185929648241206,0,5,22
137872467221,137872617482,0.3768844221105528,0,5,32
137872467221,137872617659,0.3768844221105528,0,5,22
137872467251,137872617536,0.38190954773869346,0,5,20
137872467251,137872617839,0.38190954773869346,0,5,25
137872467281,137872617665,0.3869346733668342,0,5,37
137872467281,137872617992,0.3869346733668342,0,5,22
137872467311,137872617851,0.3919597989949749,0,5,27
137872467311,137872618187,0.3919597989949749,0,5,29
137872467341,137872618004,0.3969849246231156,0,5,22
137872467341,137872618373,0.3969849246231156,0,5,28
137872467371,137872618193,0.4020100502512563,0,5,23
137872467371,137872624689,0.4020100502512563,0,5,27
137872467401,137872624647,0.40703517587939697,0,5,27
137872467401,137872624857,0.40703517587939697,0,5,25
137872467431,137872624695,0.4120603015075377,0,5,19
